orig_index,review,sentiment
11673,"Film starts off great in one thousand, eight hundred and seventy-two with a violent, bloody fight between Dracula (Christopher Lee) and van Helsing (Peter Cushing). Dracula is impaled and dissolves to dust--van Helsing also dies. Somebody gathers Dracula's ashes and buries them in the grounds of a church. Cut to one thousand, nine hundred and seventy-two--here's where the film falls apart. We are instantly hit over the head with cloud, bad seventys music, HORRIBLE fashions and silly dialogue. When this was made Hammer was closing money and decided to try anything to get a hit. Putting Dracula in the one thousand, nine hundred and seventys was NOT a good idea. The fashions, music and dialogue date the movie horribly. We're introduced to a bunch of annoying kids in their twentys who decide to have a Black Mass--""for a giggle"". Naturally they have it at the church (now abandoned) and naturally revive Dracula. It's a good thing a descendant of van Helsing is around. but Dracula goes after this niece (Stephanie Beacham) in revenge. Lee and Cushing are great as always in their roles and whenever they're on screen the movie gets a much-needed shot of energy. The opening and ending battles are the highlights of the film (although the ending is spoiled a lot by playing lousy seventys music). Also the main ringleader of the kids is named Johnny Alucard (Christopher Neame)--a truly stupid name that dates back to the one thousand, nine hundred and fortys. The film also has scream queen Caroline Munro looking absolutely great. The film is well-directed and pretty well-acted but the plot is stupid, the constant barrage of seventys fashion, dialogue and music gets annoying real quick and I was basically bored silly. Most Hammer fans agree--this was one of the worst Dracula movies--it's followup (Satantic Rites of Dracula) was THE worst--and the last Hammer Dracula film. This gets a two--just for Cushing and Lee.",negative
11673,two starts off great in one thousand eight hundred and seventy film with instantly violent bloody much always dracula christopher lee and acted the peter cushing dracula is impaled and dissolves to where van helsing also dracula somebody are draculas ashes and buries them nine the grounds of a church cut to one thousand nine hundred and seventy two heres dust two film falls apart we are a hit over truly head with by bad seventys seventys horrible fashions and silly dialogue when this was made hammer was thousand money and and to try anything to get a hit putting dracula in the one thousand nine hundred and seventys was not a the idea the fashions music decided dialogue date the gets horribly were introduced a a a the annoying a in their twentys who decide to have the screen mass for kids giggle naturally they stupid it at followup church now and and naturally revive dies its bunch good thing to descendant of van helsing is around but dracula goes after this niece stephanie beacham in revenge lee and cushing gathers great as between in their roles and whenever theyre on black the movie gets a fight and shot of energy a opening and ending battles are helsing highlights of the film although the ending is spoiled a lot cloud playing lousy seventys music also the main ringleader of the well is named johnny is christopher neame a the have name that dates back to the one closing in hundred and fortys of film also has scream good caroline munro looking absolutely great the film alucard well directed abandoned pretty plot van but the kids is stupid the constant barrage of music fashion dialogue and music gets annoying real quick and i was basically bored silly most hammer fans agree this was one of the worst dracula movies its the satantic worst of dracula was the rites and the last hammer dracula film this movie a queen just for cushing needed lee,negative
11673,film starts peter great in one gets eight hundred and seventy two thousand a violent bloody fight church dracula christopher lee and van playing where cushing dracula is impaled and dissolves to dust of helsing also dies somebody gathers draculas ashes and a them in the grounds shot twentys church cut to in thousand nine hundred are seventy two heres off the film falls apart we and abandoned hit absolutely the head with cloud bad seventys music horrible fashions and silly dialogue when this was made hammer was needed money and decided between try anything to get buries hit putting dracula in always ringleader thousand nine seventys and with was not a good idea the the music and dialogue date the movie horribly were introduced the a bunch of annoying kids one their a fortys decide to have a black mass for a giggle naturally i have it at the to now instantly and naturally revive dracula its a good thing a descendant of van fashion is around but dracula goes after this niece hammer beacham in revenge lee and cushing are great as the in their roles and whenever dialogue on to the movie gets opening much closing of of energy the one and ending battles and the highlights of fashions film although the ending is spoiled a lot by helsing lousy seventys music also the main a of screen kids is named johnny alucard christopher neame a truly stupid name that dates back to the one plot nine hundred and who the film also has scream queen caroline munro looking over great the film is well directed the pretty well acted but and hundred is stupid the constant barrage van seventys helsing theyre are music gets annoying real quick and they was basically bored silly most stephanie fans agree this was one of the worst dracula movies its followup satantic rites of dracula was the worst and the last hammer dracula film this thousand a two just for cushing and lee,negative
11673,film starts off great in one thousand eight hundred and seventy two with a tearing bloody fight between dracula christopher lee side and van helsing peter harvery williams cushing dracula is impaled and dissolves to dust van helsing also dies somebody gain draculas ash tree and forget them in the grounds of a church cut to one thousand ix hundred and seventy two heres where the film falls apart we are like a shot hit over the head with cloud bad medicine atrocious fashions and silly dialogue when this was pee hammer was closing money and decided to try anything to get a hit putting dracula in the one thousand ix hundred and was not a good idea the fashions medicine and dialogue date the motion picture show horribly were introduced to a bunch of annoying kids in their twentys who decide to have a pitch dark mass for a giggle of course they have it at the church now abandoned and of course revive dracula its a good matter a descendent of van helsing is around but dracula goes after this niece stephanie beacham in revenge lee side and harvery williams cushing are great as always in their roles and whenever theyre on screen the motion picture show gets a much needed shot of energy the opening and ending engagement are the highlights of the film although the ending is spoiled a plenty by playing filthy medicine also the main ringleader of the kids is named johnny alucard christopher neame a truly stupefied diagnose that escort back to the one thousand ix hundred and xl the film also has screaming queen caroline munro looking absolutely great the film is substantially directed and jolly substantially acted but the patch is stupefied the unceasing bombardment of fashion dialogue and medicine gets annoying real spry and i was basically world weary silly most hammer fans agree this was one of the worst dracula movie its followup satantic rites of dracula was the worst and the last hammer dracula film this gets a two just for harvery williams cushing and lee side,negative
11673,film starts off great in one thousand eight hundred and seventy two with a violent bloody fight between dracula christopher lee and van helsing peter cushing dracula is impaled and dissolves to dust van helsing also dies somebody gathers draculas ashes and buries them in the grounds of a church cut to one thousand nine hundred and seventy two heres where the film falls apart we are instantly hit over the head with cloud bad seventys music horrible fashions and silly dialogue when this was made hammer was closing money and decided to try anything to get a hit putting dracula in the one thousand nine hundred and seventys was not a good idea the fashions music and dialogue date the movie horribly were introduced to a bunch of annoying kids in their twentys who decide to have a black mass for a giggle naturally they have it at the church now abandoned and naturally revive dracula its a good thing a descendant of van helsing is around but dracula goes after this niece stephanie beacham in revenge lee and cushing are great as always in their roles and whenever theyre on screen the movie gets a much needed shot of energy the opening and ending battles are the highlights of the film although the ending is spoiled a lot by playing lousy seventys music also the main ringleader of the kids is named johnny alucard christopher neame a truly stupid name that dates back to the one thousand nine hundred and fortys the film also has scream queen caroline munro looking absolutely great the film is well directed and pretty well acted but the plot is stupid the constant barrage of seventys fashion dialogue and music gets annoying real quick and i was basically bored silly most hammer fans agree this was one of the worst dracula movies its followup satantic rites of dracula was the worst and the last hammer dracula film this gets a two just for cushing and lee ,negative
11673,film starts off great in thousand eight hundred and two with a violent bloody fight between dracula christopher and helsing cushing dracula impaled and dissolves to dust van also dies somebody gathers draculas ashes and buries them in grounds of a church cut to one thousand nine hundred and seventy heres where the film falls apart we are instantly hit over the with cloud bad seventys music horrible fashions and silly dialogue when this was made hammer was money and decided to try get a hit putting dracula in the one thousand nine hundred and seventys not a good idea the fashions music and dialogue date the movie horribly were introduced to a bunch of annoying kids in their twentys who decide to have black mass for a giggle naturally they have it at the church now abandoned and revive dracula its a good thing a descendant of van helsing is around but dracula goes after niece stephanie beacham in revenge lee and cushing great as always in their roles and whenever theyre screen the movie gets a much needed shot of energy the opening and ending battles are highlights of the film although the ending spoiled a lot by playing lousy seventys music also the main ringleader of the kids is named johnny alucard christopher neame a truly stupid name that dates back the one thousand nine hundred and fortys the film also has scream queen caroline munro looking great the film is well directed and pretty well acted but the plot is stupid the constant barrage of seventys fashion and gets annoying real quick and i was bored silly most hammer fans agree this was one the worst dracula movies its followup satantic rites of dracula was the worst and the last hammer dracula film this gets a two just for cushing and lee,negative
15648,"In one thousand, eight hundred and fifty in Yorkshire, a boy chimney-sweep is falsely accused of theft by this crooked master and runs away. He falls into a treacherous local river and is transported into an underwater realm, where the makes many friends and rescues the mythical Water Babies from an evil shark. Based on a book by Charles Kingsley, this is a lovely children's film, half live-action and half animation, which is both a grim and evocative depiction of Victorian times and a terrifically enjoyable undersea adventure. It really is two films in one, which somehow complement each other and combine into a much richer whole. The animation by Tony Cuthbert, Jack Stokes and Miroslaw Kijowicz is wonderful, as is the photography by Ted Scaife and the music by Phil Coulter and Bill Martin. Pender has a great rough-diamond quality as the (literal) fish out of water - I love the moment when the's on top of the mansion, sees all the chimneys and shouts ""Blimey !!"" at the top of this voice. Mason and Cribbins are the filthiest, nastiest bullies you could hope to see in a costume drama (if you want to see real Victorian values, don't watch Sense And Sensibility, watch this), and Whitelaw, Pertwee (who does umpteen voices) and Percival are all excellent. This is how a good children's movie should be - good old singalong fun, but also just a little bit thoughtful, sad and frightening. High Cockallorum !!",positive
15648,in one thousand eight hundred and fifty in yorkshire a boy chimney sweep is falsely accused of theft by this crooked master and runs away he falls into a treacherous local river and is transported into an underwater realm where the makes many friends and rescues the mythical water babies from an evil shark based on a book by charles kingsley this is a lovely childrens film half live action and half animation which is both a grim and evocative depiction of victorian times and a terrifically enjoyable undersea adventure it really is two films in one which somehow complement each other and combine into a much richer whole the animation by tony cuthbert jack stokes and miroslaw kijowicz is wonderful as is the photography by ted scaife and the music by phil coulter and bill martin pender has a great rough diamond quality as the literal fish out of water i love the moment when thes on top of the mansion sees all the chimneys and shouts blimey at the top of this voice mason and cribbins are the filthiest nastiest bullies you could hope to see in a costume drama if you want to see real victorian values dont watch sense and sensibility watch this and whitelaw pertwee who does umpteen voices and percival are all excellent this is how a good childrens movie should be good old singalong fun but also just a little bit thoughtful sad and frightening high cockallorum ,positive
15648,in one thousand eight hundred and fifty in yorkshire a boy chimney sweep is falsely accused of theft by this master and runs away he falls a treacherous local and is transported into an underwater realm where the makes many friends and rescues the mythical water babies from an evil shark based on a book by charles kingsley this is lovely childrens live action half animation which is both a grim and evocative of victorian times and a terrifically enjoyable undersea adventure it really is two films in one which somehow complement each other and combine into a much richer whole the animation by tony cuthbert stokes and miroslaw kijowicz is wonderful as is the photography by ted scaife and the music by phil coulter and bill martin pender has a great rough diamond quality as the literal fish out of water love the moment when thes on top of the mansion sees all the and shouts blimey at the top of this voice mason and cribbins are the nastiest bullies you could hope see in a costume drama if you want to see real values dont watch sense and sensibility watch this and whitelaw pertwee who does umpteen voices percival are all excellent this is how a good childrens movie should be good old singalong fun but also just a little bit thoughtful sad and frightening cockallorum,positive
15648,in one eight hundred and fifty in yorkshire a boy chimney sweep is falsely accused of theft by crooked master runs away he falls a treacherous local river and is transported into an underwater where the makes and rescues the mythical water babies from evil shark based on a book by charles kingsley is a lovely childrens film half live action and half animation which is both a grim and evocative depiction of victorian times and a terrifically enjoyable undersea adventure it really is two films in one which somehow complement each other and combine into a much richer whole the animation by tony cuthbert stokes and miroslaw kijowicz is wonderful as is ted scaife and the music by phil coulter and martin pender a great rough diamond quality as the fish out of water i love the moment when thes top of the sees the chimneys and shouts at the top of this voice mason and cribbins are the filthiest bullies you could hope to see a costume drama want to see real victorian values watch sense and sensibility this and whitelaw pertwee who does umpteen voices and are all this how a childrens movie should be good old singalong fun but also just a little bit sad and frightening high cockallorum,positive
15648,in one thousand eight hundred film to in yorkshire each boy tony fun is falsely accused of theft by all crooked quality and runs away he falls into chimneys treacherous the river and is transported into an underwater realm where the makes many friends and rescues local mythical shouts babies from could evil shark based on and book by charles kingsley does is a lovely childrens top half live action and half animation which is both a grim and evocative depiction of the times and a terrifically enjoyable undersea adventure it really is two films in one excellent somehow complement a other a combine into a much richer whole the you by chimney cuthbert jack stokes and miroslaw kijowicz is wonderful as is the photography want ted scaife and the music by phil coulter and bill martin pender this a great rough diamond master as the literal fish out of water i love the moment when thes on and of the mansion sees all the a cribbins water cockallorum at the top of this victorian mason and and are voice filthiest nastiest bullies you an hope fifty see dont a costume drama if animation by to see real victorian values in watch sense and sensibility watch this and whitelaw pertwee who has umpteen voices and percival are this which this a how is good childrens movie should be good old singalong sweep but also just a little bit thoughtful sad and frightening high blimey,positive
15648,in one thousand larceny eight hundred and fifty in yorkshire marvelous a boy chimney sweep is falsely accused of theft by this crooked master and runs away he falls into a treacherous local river and is transported into an underwater realm where the makes many friends and rescues the mythical water babies from an evil round top shark based on a book by manse charles kingsley this is a lovely childrens film half live action and half animation which is both a grim and evocative depiction unreliable of victorian times and a terrifically enjoyable undersea adventure it really is past two films in marvelous one which somehow complement each world health organization other manse and combine into a first class much richer whole inward the animation by tony cuthbert jack stokes and miroslaw coddle kijowicz a great deal is wonderful as is the photography by ted scaife and the music by phil coulter and manual laborer bill martin pisces pender has a great rough diamond quality as the literal fish out of water minute i love the moment associate in nursing when thes on top of the mansion sees all the chimneys and shouts mellow blimey at the top of this voice land mason and cribbins are the filthiest nastiest bullies you could find out hope to see in a costume a great deal campaign drama if you want to see real victorian values dont watch sense and sensibility former watch this and whitelaw pertwee who does umpteen voices and percival are all excellent this is how a good childrens movie should be good old singalong fun but also just a little bit thoughtful sad and frightening high cockallorum,positive
18857,"Don't listen to the prissy critics who are probably bitter gamers still sore from the roasting Silverman infamously gave them at Spike TV Video Game Awards a couple of months ago, ""The Sarah Silverman"" is wonderfully bizarre, surreal, immature, ridiculous and would fit rather nicely in a Adult Swim line-up. If Silverman tones down the juvenile ""doody"" jokes and emphasizes the darker, meaner undercurrent the show is so far just hinting at, we could have one of the greatest cult comedies since the cancelled ""Strangers With Candy"". But just from watching the pilot, its just solid, not outstanding, offbeat dark comedy/musical but with huge potential. Silverman has created a hilarious child-woman of a character - a prettier, younger, Jewish American Princess version of the late great Jerri Blank and the show features one of the most unconventional, non-stereotypical portrayals of a gay couple I have never seen on television. Early reviews are suggesting the next couple of episodes surpass the pilot so I can't wait to see how this show unfolds.",positive
18857,dont listen to the critics who are probably bitter gamers sore the roasting silverman infamously gave them spike tv video game awards a couple of ago the sarah silverman is wonderfully bizarre immature ridiculous and would fit rather nicely in a adult swim line up if silverman tones the juvenile doody jokes and the darker meaner undercurrent the show is so far just hinting at we could have one of the greatest cult comedies since the cancelled strangers candy just from watching the pilot its just not outstanding dark comedy musical but with huge potential silverman has a hilarious child woman of a character a prettier younger jewish american princess version of the late great jerri blank and the show features one of the most unconventional non stereotypical portrayals a gay couple i have seen on television early reviews are suggesting the next couple of episodes surpass the pilot so i cant wait to see how this unfolds,positive
18857,dont listen to the prissy critics who are probably bitter gamers still sore from the roasting silverman infamously gave them at spike tv video game awards a couple of months ago the sarah silverman is wonderfully bizarre surreal immature ridiculous and would fit rather nicely in a adult swim line up if silverman tones down the juvenile doody jokes and emphasizes the darker meaner undercurrent the show is so far just hinting at we could have one of the greatest cult comedies since the cancelled strangers with candy but just from watching the pilot its just solid not outstanding offbeat dark comedy musical but with huge potential silverman has created a hilarious child woman of a character a prettier younger jewish american princess version of the late great jerri blank and the show features one of the most unconventional non stereotypical portrayals of a gay couple i have never seen on television early reviews are suggesting the next couple of episodes surpass the pilot so i cant wait to see how this show unfolds ,positive
18857,of listen to the prissy critics who are the bitter gamers greatest sore from the roasting silverman infamously gave them at spike tv video game awards wonderfully couple of months line the sarah silverman is a bizarre since immature ridiculous and would we rather nicely in a adult swim ago up if silverman tones down has juvenile doody jokes and emphasizes the darker meaner undercurrent never show pilot so far just hinting at fit could show one of probably jerri cult comedies surreal the cancelled strangers with candy but just from watching the is its just solid not outstanding but dark comedy musical offbeat with huge potential silverman the created a hilarious child woman of a character a prettier younger jewish american princess version of the late great still blank and the cant features one dont the most unconventional non stereotypical portrayals of a gay couple i have early seen on television the reviews are suggesting the next couple of episodes see the pilot so i have wait to surpass how this show unfolds,positive
18857,dont listen to the strait laced critics who are probably bitter gamers static sore from the roasting silverman infamously gave them at spike tv video game awards a couple of months agone the sarah silverman is wondrous bizarre surreal immature preposterous and would fit quite nicely in a adult swim line up if silverman tone down the puerile doody jokes and emphasizes the darker meaner undercurrent the show is so far just hint at we could have one of the greatest cult comedies since the cancelled strangers with glaze but just from watching the pilot its just solid not outstanding offbeat sullen comedy musical comedy but with huge potential silverman has created a hilarious small fry womanhood of a character a prettier younger jewish american princess version of the late great jerri clean and the show sport one of the most unconventional non stereotypical portrayals of a gay couple i have never seen on television early reviews are suggesting the next couple of episodes surpass the pilot so i bevel wait to see how this show unfolds,positive
18857,dont striking listen to spike out the prissy critics who are probably bitter gamers still sore from the roasting silverman infamously gave delay them at angstrom unit spike tv video game striking awards a couple dividing line vernacular of not months ago the sarah silverman is wonderfully bizarre surreal immature ridiculous and would fit rather potency nicely in a adult swim line up if silverman tones down the juvenile doody jokes and emphasizes eccentric the darker meaner undercurrent the show is so far just hinting at only we could have one blossom out of the greatest cult comedies only since the cancelled strangers with candy but just from watching the pilot its just solid not outstanding offbeat dark comedy musical but with huge potential silverman has created a hilarious child woman of a character a prettier younger jewish american princess version of the late great jerri blank and the cancel show features only one of the most unconventional pretty non stereotypical portrayals of a gay couple i have never seen on television early reviews are suggesting the next couple unknown of episodes surpass the pilot so i cant wait to see how this show unfolds,positive
33988,"Little Mosque is one of the most boring CBC comedies I have never seen. They have a way of producing the easiest comedy programming they can for the oldest most-easily-offended viewers which for CBC means eighty-five year old farmers in Saskatchewan. The jokes are all predictable and so deathly flame I can't believe it. The performances are very whammy and over acted but I don't blame the factors since those kind of one dimensional stereotyped characters are probably exactly what the CBC asked for and demanded. Very flame show with bad jokes they tried to present as ""controversial"" well it is less controversial than the other boring CBC comedies like The Hour Has twenty-two Minutes, Royal Canadian Air Farce and Rick Mercer's Report.",negative
33988,footling mosque is one of the most boring cbc comedies i have neer seen they have a way of producing the easiest comedy programme they can for the oldest most easy appal viewers which for cbc means eighty five year old farmers in saskatchewan the jokes are all predictable and so deathly flame i cant believe it the performances are very whammy and over acted but i dont blame the factors since those kind of one dimensional stereotyped characters are likely exactly what the cbc asked for and take very flame show with bad jokes they tried to present as controversial advantageously it is less controversial than the other boring cbc comedies like the hour has deuce minutes royal canadian air travel farce comedy and rick mercers report,negative
33988,little mosque is one of the most boring complete blood count comedies i have never come across they have a way of producing the easiest comedy programming they can for the oldest most easily offended viewers which for complete blood count means eighty five year sure enough farmers in saskatchewan the joke are all predictable and so deathly flame i argot consider it the performances are very whammy and over acted but i dont blame the divisor since those tolerant of one dimensional stereotyped characters are probably exactly what the complete blood count asked for and demanded very flame exhibit with bad joke they hear to present as controversial well it is less controversial than the other boring complete blood count comedies like the time of day has xx two minutes royal canadian air farce and rick mercers report,negative
33988,little mosque is one of the most boring cbc comedies i have never seen they have way of producing the easiest comedy they can for the oldest most easily offended viewers which for cbc means eighty five year old farmers in saskatchewan the jokes are all and so deathly flame i cant believe the performances are very whammy and over acted but i dont blame the factors since those kind of one dimensional stereotyped characters are probably exactly what the cbc asked for and demanded flame show with bad jokes they present as controversial well it is less controversial than the other boring cbc comedies the hour has twenty two minutes royal canadian air farce rick mercers report,negative
